area;ciudad;zona;sector;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;plan_muestreo;fexp
1;10150;005;001;242;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;107,935092656927
1;10150;006;004;172;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1012;79,6542160832708
1;10150;006;004;172;2;1;3;3;3;3;3;2;3;3;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;1012;79,6542160832708
1;10150;006;004;172;3;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1012;79,6542160832708
1;10150;006;004;182;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;1012;79,6542160832708
1;10150;006;004;182;2;1;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;1012;79,6542160832708
1;10150;006;004;182;3;1;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;1012;79,6542160832708
1;10150;006;004;232;1;1;3;2;2;3;3;2;3;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;1012;79,6542160832708
1;10150;006;004;232;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;3;3;3;3;1012;79,6542160832708
1;10150;006;004;232;3;1;2;3;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1012;79,6542160832708
1;10150;006;004;242;1;1;3;3;2;3;3;3;3;3;2;2;3;3;3;3;3;2;2;2;2;3;3;3;3;1012;79,6542160832708
1;10150;006;004;242;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1012;79,6542160832708
1;10150;006;004;242;3;1;2;3;2;2;2;2;3;3;3;3;3;2;2;3;3;2;2;2;2;2;2;2;2;1012;79,6542160832708
1;10150;006;005;172;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;172;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;1011;78,4097801194349
1;10150;006;005;172;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;182;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;182;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;182;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;232;1;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;232;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1011;78,4097801194349
1;10150;006;005;232;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;242;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;242;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1011;78,4097801194349
1;10150;006;005;242;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1011;78,4097801194349
1;10150;007;003;172;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;2;3;3;1012;84,0776370546309
1;10150;007;003;172;2;1;3;3;1;1;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;3;3;1012;84,0776370546309
1;10150;007;003;172;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1012;84,0776370546309
1;10150;007;003;182;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1012;84,0776370546309
1;10150;007;003;182;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1012;84,0776370546309
1;10150;007;003;182;3;1;2;2;1;1;9;2;9;2;1;1;2;2;1;2;2;2;1;2;1;2;2;2;1;1012;84,0776370546309
1;10150;007;003;232;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;3;3;2;1012;84,0776370546309
1;10150;007;003;232;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;3;1012;84,0776370546309
1;10150;007;003;232;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;1012;84,0776370546309
1;10150;007;003;242;1;1;3;3;3;3;3;3;3;3;1;1;2;2;2;2;2;2;2;2;2;2;2;3;2;1012;84,0776370546309
1;10150;007;003;242;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1012;84,0776370546309
1;10150;007;003;242;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;1012;84,0776370546309
1;10150;009;003;172;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;83,0556948604209
1;10150;009;003;172;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;83,0556948604209
1;10150;009;003;172;3;1;2;2;1;1;9;3;9;3;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;1013;83,0556948604209
1;10150;009;003;182;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1013;83,0556948604209
1;10150;009;003;182;2;1;2;3;2;2;9;2;9;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1013;83,0556948604209
1;10150;009;003;182;3;1;3;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;3;3;1013;83,0556948604209
1;10150;009;003;232;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;2;3;1013;83,0556948604209
1;10150;009;003;232;3;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;1013;83,0556948604209
1;10150;009;003;232;4;1;3;3;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;3;3;1013;83,0556948604209
1;10150;009;003;242;1;1;2;2;1;1;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;3;9;9;1013;83,0556948604209
1;10150;009;003;242;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;83,0556948604209
1;10150;009;003;242;3;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;3;1013;83,0556948604209
1;10150;009;004;172;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1012;82,5463832551551
1;10150;009;004;172;2;1;3;2;1;1;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;1012;82,5463832551551
1;10150;009;004;172;4;1;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1012;82,5463832551551
1;10150;009;004;182;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;3;3;1012;82,5463832551551
1;10150;009;004;182;2;1;3;2;2;2;3;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;3;3;1012;82,5463832551551
1;10150;009;004;182;3;1;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;1012;82,5463832551551
